Date,Open,High,Low,Close,Adj Close,Volume
2011-12-01,28.469524,29.368311,27.708391,35.980000,29.133493,138393200
2012-01-01,29.623550,29.680861,27.953234,34.680000,28.395374,172756200
2012-02-01,28.460882,28.878460,28.248001,34.889999,28.567318,124278800
2012-03-01,28.575508,29.263287,28.141552,35.040001,28.690138,143436000
2012-04-01,28.947281,29.509203,28.236616,35.660000,29.467876,122976400
2012-05-01,29.500938,29.864540,29.162128,35.860001,29.633154,124352800
2012-06-01,29.410036,30.798315,29.385250,36.990002,30.566935,132416900
2012-07-01,30.951498,31.994059,30.492781,37.919998,31.627071,129042800
2012-08-01,31.693798,32.144184,30.225882,36.349998,30.317629,142995900
2012-09-01,30.267582,30.717964,29.950647,36.389999,30.350985,132337200
2012-10-01,30.705830,31.557137,30.520405,36.900002,31.101986,132174400
2012-11-01,31.228416,31.262129,28.531221,35.320000,29.770243,243759400
2012-12-01,29.795534,30.402399,28.843088,34.919998,29.433098,184307100
2013-01-01,30.140348,31.248451,29.910202,36.580002,31.180265,151387200
2013-02-01,31.282549,32.032650,30.933069,37.430000,31.904791,137709500
2013-03-01,31.785450,33.362373,31.640547,39.099998,33.328274,130135300
2013-04-01,33.617722,35.629631,33.454369,41.430000,35.621037,163621200
2013-05-01,35.569454,35.612434,32.207672,37.680000,32.396828,328723400
2013-06-01,32.405426,33.058868,30.780434,37.630001,32.353836,307137800
2013-07-01,32.677940,34.580246,31.713762,39.259998,34.102493,201539600
2013-08-01,34.180676,34.449951,32.122017,37.299999,32.399975,198246600
2013-09-01,32.530273,33.789799,31.748503,37.369999,32.460793,278125700
2013-10-01,32.876961,34.595779,32.368324,38.779999,34.008224,262405800
2013-11-01,34.043304,34.736095,33.227737,38.029999,33.350502,209189900
2013-12-01,33.394363,33.780220,32.666477,37.970001,33.297890,204791500
2014-01-01,33.610023,34.726818,32.892090,39.099998,34.655914,230478300
2014-02-01,34.726818,36.286774,33.911373,40.450001,35.852474,176757100
2014-03-01,35.710659,36.889488,35.028172,41.459999,36.747673,249198200
2014-04-01,37.071747,38.877071,36.589134,43.209999,38.617886,297613900
2014-05-01,38.617886,38.894939,36.848309,42.740002,38.197838,262644000
2014-06-01,38.090591,39.645676,37.205799,44.259998,39.556293,254418000
2014-07-01,39.849487,39.912586,37.154396,41.250000,37.181438,209334000
2014-08-01,37.064259,39.029243,36.117828,43.279999,39.011211,252711600
2014-09-01,38.957134,39.353737,37.316643,42.090000,37.938587,221946000
2014-10-01,38.444248,41.500145,38.107738,45.470001,41.354622,346849300
2014-11-01,41.400101,42.391445,40.781643,46.000000,41.836655,244796600
2014-12-01,41.754803,44.865269,41.045395,47.970001,43.628353,402005000
2015-01-01,43.741951,45.678085,42.806004,48.189999,44.219101,322814000
2015-02-01,44.329220,44.852245,41.044212,45.230000,41.503017,386113800
2015-03-01,41.475487,41.888405,39.465946,44.430000,40.768932,310183700
2015-04-01,40.969707,42.042503,40.479553,44.610001,41.256405,263793000
2015-05-01,40.803242,41.746559,39.859917,44.639999,41.284149,253305000
2015-06-01,41.265648,41.459862,38.204487,43.320000,40.063381,300834500
2015-07-01,38.738632,41.379692,38.635971,43.230000,40.343788,300242600
2015-08-01,41.109047,43.059513,39.167915,42.779999,39.923843,449097800
2015-09-01,39.195915,40.521103,38.076031,43.290001,40.399792,221856700
2015-10-01,40.875454,42.882023,39.999352,43.750000,41.214596,458820100
2015-11-01,41.186329,41.732723,39.462387,42.820000,40.338486,244615200
2015-12-01,40.432693,41.393578,39.094986,43.279999,40.771835,247161100
2016-01-01,40.955379,43.268223,40.403343,45.419998,43.230156,291818400
2016-02-01,43.030277,45.190830,43.001720,46.299999,44.067726,433337800
2016-03-01,44.296158,47.275246,42.906551,49.619999,47.227657,384947200
2016-04-01,47.390976,47.832096,44.811417,48.419998,46.432034,345476700
2016-05-01,46.460804,47.707432,45.310070,49.150002,47.132065,327518000
2016-06-01,47.122475,50.373287,46.806023,52.470001,50.315758,277221600
2016-07-01,51.007694,51.259060,49.460838,52.119999,50.388954,288118200
